DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-10-31,Sri Lankan Groceries,Delmage Tea Pouch 200g,2.0,7.5,0.0
2016-10-31,Stonefruits,peaches white,0.7040000000000001,2.4640000000000004,2.4640000000000004
2016-10-31,Tomatoes,cherry Truss tomato,6.0,18.0,-3.0
2016-10-31,Tropical Fruits,Pineapple,2.0,9.0,9.0
2016-10-31,Veggies,Jerusalem Artichokes,0.5680000000000001,2.8343200000000004,2.8343200000000004
2016-10-31,capsicum,Capsicum yellow,10.658000000000001,69.27699999999999,69.27699999999999
2016-10-31,carrots,Carrots 1kg,222.0,330.7800000000008,153.1799999999997
2016-10-31,coconut Products,Chick Peas 1kg Pattu,3.0,11.97,5.37
2016-10-31,markdown bag,Mark down Bag ***,409.0,409.0,409.0
2016-10-31,trutaste,Pistachios Salted 350g,5.0,50.0,0.49999999999999817
2016-11-30,Apples,Firm Gold Apple 2kg,1.0,1.99,1.99
2016-11-30,Asian Vegies,bitter melon,16.518,74.33100000000002,-8.259
2016-11-30,Avocadoes,Avocado Hass Medium,260.0,517.4000000000011,-262.5999999999995
2016-11-30,Bananas,Banana Cavendish,1776.308000000001,3534.8529200000007,-17.76308000000003
2016-11-30,Berries,Berries Strawberry (large),70.0,266.00000000000017,32.89999999999999
2016-11-30,Bunch Vegies,Red Radish bunch,33.0,59.39999999999996,-23.099999999999987
2016-11-30,Cabbages,Cabbage Wombok,13.0,19.5,-29.25
2016-11-30,Chillies,Chilli Green long bullhorm,2.8200000000000003,19.711800000000004,7.021800000000001
2016-11-30,Citrus,Afourer Mandarin,8.864,22.16,13.296000000000003
2016-11-30,Cucumbers,Cucumber continental,539.0,808.5,808.5
2016-11-30,Cut Veggies,Savoy Cabbage Quter,4.0,5.0,5.0
2016-11-30,Eggs,egg free range 600g,65.0,272.9999999999997,65.0
2016-11-30,Fruits,Kensington Pride Mangoes large,396.0,1188.0,1188.0
